"","Interaction_Estimate","SD","lower","upper","Rhat","Significance","BPV.dom","BPV.sub","Chat.dom","Chat.sub","Species_Pair","MCMC_setting"
"1",0.460520648826687,1.68420477172919,-2.36372570590941,2.09062553090229,13.8697912762603,"Non-Significant",0.2528,0.222166666666667,1.09382191001339,1.04368338630056,"SUB-Panthera_pardus~DOM-Arctictis_binturong","LONG"
"2",0.101134993728766,0.0323362558648437,0.0391331084090889,0.165903748666304,1.00090265366424,"Significant",0.00223333333333333,0.1876,1.09368202973218,1.05001513488973,"SUB-Panthera_pardus~DOM-Hystrix_brachyura","LONG"
"3",0.391952274765143,0.0583297618561338,0.276671205444029,0.506345778065373,1.00237343020663,"Significant",0.2392,0.394,1.01137272830885,1.04593789953491,"SUB-Panthera_tigris~DOM-Arctictis_binturong","LONG"
"4",1.03559098421859,0.1321618698849,0.772017271766881,1.28439817213141,1.00006823296619,"Significant",0.2252,0.1923,1.03607283820256,1.08076409143329,"SUB-Tapirus_indicus~DOM-Panthera_pardus","LONG"
"5",0.130291316311048,0.0334866765216964,0.0688422419271596,0.200072274345606,1.00029162462325,"Significant",0.19,0.00213333333333333,1.05029848820198,1.09105941339047,"SUB-Hystrix_brachyura~DOM-Panthera_pardus","LONG"
"6",0.163022823946722,0.0575127529590966,0.0531900776180419,0.279019465083224,1.00075807039526,"Significant",0.3259,0.198466666666667,1.04171824004257,1.06718535709828,"SUB-Neofelis_genus~DOM-Lophura_bulweri","LONG"
"7",-0.266494711225198,0.0870453376834324,-0.446468754924726,-0.106025788693269,1.00055402068016,"Significant",0.404733333333333,0.183766666666667,1.09536776678273,1.0029887096693,"SUB-Panthera_pardus~DOM-Macaca_nemestrina","LONG"
"8",-0.0718939030050957,0.130421905750187,-0.353591434402611,0.16247556605855,1.00002825760932,"Non-Significant",0.3623,0.454,1.01340476015104,1.01396209812116,"SUB-Pardofelis_marmorata~DOM-Panthera_tigris","LONG"
"9",-2.25336821586845,1.26547018176373,-5.25498069918775,-0.351867747226919,1.00035542002565,"Significant",0.3673,0.347433333333333,1.01395546080232,1.01390395583899,"SUB-Trichys_fasciculata~DOM-Panthera_tigris","LONG"
"10",-0.418102728271759,0.105012483027101,-0.635824958777495,-0.225025798082332,1.00070054416069,"Significant",0.352666666666667,0.2179,1.02427607930059,1.01553022601154,"SUB-Atherurus_macrourus~DOM-Panthera_tigris","LONG"
"11",-0.00780562143952506,0.117328198335916,-0.253572082363078,0.208722073257349,1.00027471325807,"Non-Significant",0.3638,0.549566666666667,0.996004780418645,1.01403162329842,"SUB-Varanus_salvator~DOM-Panthera_tigris","LONG"
"12",-4.08449542666299,1.23572285475004,-6.66512727959034,-2.14229730412889,1.02755305990739,"Significant",0.392,0.429666666666667,1.02359300893047,1.01127506557557,"SUB-Viverra_megaspila~DOM-Panthera_tigris","LONG"
"13",-0.0920294904153944,0.0481674857739175,-0.185200795157417,-2.47326485711975e-05,1.00016407481886,"Significant",0.3606,0.3815,1.01026824034845,1.01426358053215,"SUB-Viverra_zibetha~DOM-Panthera_tigris","LONG"
"14",0.446837941719135,0.0784629675554507,0.301977492976928,0.611353348675535,1.00035968233615,"Significant",0.344,0.288133333333333,1.06472673197444,1.01577521490416,"SUB-Viverricula_indica~DOM-Panthera_tigris","LONG"
"15",0.359469295909373,0.103981452140305,0.154553589245314,0.563397780314747,1.00093604485233,"Significant",0.373966666666667,0.3189,1.04669002077569,1.01288893071934,"SUB-Catopuma_temminckii~DOM-Panthera_tigris","LONG"
"16",0.103466630581731,0.0494359786554352,0.00724571497613764,0.20164965751999,1.00008616392236,"Significant",0.3698,0.311433333333333,1.0288503019265,1.0131819532426,"SUB-Cuon_alpinus~DOM-Panthera_tigris","LONG"
"17",0.0282297516451569,0.0239704441323665,-0.0231718524075541,0.0713008014026632,0.999978618399808,"Non-Significant",0.375,0.1943,1.04237709399649,1.0081695655316,"SUB-Neofelis_genus~DOM-Argusianus_argus","LONG"
"18",0.0122491584950172,0.0232636994026107,-0.0366600149373595,0.0542284401190974,0.999965218451676,"Non-Significant",0.253766666666667,0.2009,1.04193467026389,1.01970123822282,"SUB-Neofelis_genus~DOM-Lophura_diardi","LONG"
"19",0.014765016266713,0.0307635396534625,-0.0460477537913562,0.0751571044559565,1.00008104715384,"Non-Significant",0.402933333333333,0.197133333333333,1.04239338693362,1.00302821435265,"SUB-Neofelis_genus~DOM-Macaca_nemestrina","LONG"
"20",0.394861123328171,0.0660458852806814,0.272841177421837,0.532392304116066,0.999967162149812,"Significant",0.1806,0.434766666666667,1.00525563562754,1.09400140738365,"SUB-Prionailurus_bengalensis~DOM-Panthera_pardus","LONG"
"21",-0.0836389865274138,0.162760746382248,-0.461766315246504,0.163156765901546,1.00042368531577,"Non-Significant",0.3766,0.189633333333333,1.09293730084278,1.0081872185095,"SUB-Panthera_pardus~DOM-Argusianus_argus","LONG"
"22",-0.0822779176522591,0.0538623029047027,-0.201074890773654,0.00869356029743319,0.999961786941094,"Non-Significant",0.371566666666667,0.363033333333333,1.01422264336233,1.00838147222499,"SUB-Panthera_tigris~DOM-Argusianus_argus","LONG"
"23",1.9982227725193,0.259322974707536,1.53191778895407,2.54690519761703,1.19937060653982,"Significant",0.3715,0.2125,1.09721336614563,1.0098236975094,"SUB-Panthera_pardus~DOM-Paradoxurus_hermaphroditus","LONG"
