"","Species_Pair","dom_species","sub_species","mod_completion","SUB_guild","DOM_guild","guild_pair","Interaction_Estimate","SD","lower","upper","Rhat","Significance","BPV.dom","BPV.sub","Chat.dom","Chat.sub","MCMC_setting","BPV_valid","BPV_valid_conserv","OD_valid","OD_valid_conserv","parameter_valid","direction","preference","support","support_conserv"
"59","SUB-Helarctos_malayanus~DOM-Neofelis_genus","Neofelis_genus","Helarctos_malayanus","completed","Large_Omnivore","Large_Carnivore","SUB-Large_Omnivore~DOM-Large_Carnivore",0.853852012343937,0.047486371872604,0.759516519335462,0.949472939050964,1.02731973389583,"Significant",0.0907333333333333,0.1904,1.02338238545189,1.06586933313287,"LONG","No","No","Yes","Yes","Yes","top-down","community","Unsupported_3","Unsupported_3"
"60","SUB-Helarctos_malayanus~DOM-Panthera_pardus","Panthera_pardus","Helarctos_malayanus","completed","Large_Omnivore","Large_Carnivore","SUB-Large_Omnivore~DOM-Large_Carnivore",-0.031640989055773,0.0583784361750534,-0.150861440791828,0.0821336162433756,1.00024705918926,"Non-Significant",0.1907,0.136466666666667,1.02661827570156,1.09254362707913,"LONG","No","No","Yes","Yes","Yes","top-down","community","Unsupported_3","Unsupported_3"
"61","SUB-Helarctos_malayanus~DOM-Panthera_tigris","Panthera_tigris","Helarctos_malayanus","completed","Large_Omnivore","Large_Carnivore","SUB-Large_Omnivore~DOM-Large_Carnivore",0.291509108995174,0.0323653279196713,0.231611901301666,0.358733601759126,1.00010875167706,"Significant",0.304833333333333,0.1106,1.02964447637413,1.01996896426152,"LONG","No","No","Yes","Yes","Yes","top-down","preferred","Unsupported_3","Unsupported_3"
"62","SUB-Hemigalus_derbyanus~DOM-Neofelis_genus","Neofelis_genus","Hemigalus_derbyanus","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",0.743259395007764,0.0789010917302665,0.593494121160084,0.902735738243473,1.00142093008536,"Significant",0.186566666666667,0.581933333333333,0.99446613032529,1.04482441905875,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_3"
"63","SUB-Hemigalus_derbyanus~DOM-Panthera_pardus","Panthera_pardus","Hemigalus_derbyanus","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",0.220029496218249,0.305232010317042,-0.389677970751789,0.828908879502747,1.00017883677558,"Non-Significant",0.187966666666667,0.6132,0.99221301079797,1.09290074012706,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_3"
"64","SUB-Hemigalus_derbyanus~DOM-Panthera_tigris","Panthera_tigris","Hemigalus_derbyanus","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",0.522433403129353,0.133343631262516,0.27151669693394,0.789993768904954,1.00123471446734,"Significant",0.3725,0.606766666666667,0.992850313738302,1.01339244490924,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_1"
"65","SUB-Herpestes_brachyurus~DOM-Neofelis_genus","Neofelis_genus","Herpestes_brachyurus","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.744408942916454,0.173385934357664,0.404270358882421,1.08307315483874,1.00003982737438,"Significant",0.201,0.3162,1.02962065304852,1.04127983497614,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_3"
"66","SUB-Herpestes_brachyurus~DOM-Panthera_pardus","Panthera_pardus","Herpestes_brachyurus","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",0.496555875166701,0.299302402727453,-0.121280961288643,1.06358808164462,1.00077274665938,"Non-Significant",0.189133333333333,0.304133333333333,1.03085331377718,1.09316696507966,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_3"
"67","SUB-Herpestes_brachyurus~DOM-Panthera_tigris","Panthera_tigris","Herpestes_brachyurus","completed","Small_Omnivore","Large_Carnivore","SUB-Small_Omnivore~DOM-Large_Carnivore",-1.24860067677625,1.20729754204653,-4.1980672748038,0.468415433164294,0.999972770906517,"Non-Significant",0.364466666666667,0.305533333333333,1.03085374730003,1.01413607443007,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_2"
"68","SUB-Herpestes_urva~DOM-Cuon_alpinus","Cuon_alpinus","Herpestes_urva","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",0.945392303241212,0.112984159243186,0.734714618319539,1.18124386319914,1.00267359703962,"Significant",0.267833333333333,0.237933333333333,1.03683477381492,1.03673727917293,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_1","Unsupported_3"
"69","SUB-Herpestes_urva~DOM-Neofelis_genus","Neofelis_genus","Herpestes_urva","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",1.23259870307263,0.11167502203174,1.01844915060932,1.45568645123899,1.03631979674015,"Significant",0.135833333333333,0.261433333333333,1.03402471443141,1.05545390346139,"LONG","No","No","Yes","Yes","Yes","top-down","community","Unsupported_3","Unsupported_3"
"70","SUB-Herpestes_urva~DOM-Panthera_pardus","Panthera_pardus","Herpestes_urva","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",-0.052405720969393,0.0833523306319264,-0.231631541270445,0.0977159442945253,1.0000191245135,"Non-Significant",0.189933333333333,0.2588,1.03247258240713,1.09287281071521,"LONG","Yes","No","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_3"
"71","SUB-Herpestes_urva~DOM-Panthera_tigris","Panthera_tigris","Herpestes_urva","completed","Small_Carnivore","Large_Carnivore","SUB-Small_Carnivore~DOM-Large_Carnivore",-0.104144504262983,0.0723967018974359,-0.252428434289561,0.0312697819887254,1.00026349374423,"Non-Significant",0.3669,0.257566666666667,1.03293737450545,1.01402367302269,"LONG","Yes","Yes","Yes","Yes","Yes","top-down","community","Unsupported_2","Unsupported_2"
"72","SUB-Hystrix_brachyura~DOM-Cuon_alpinus","Cuon_alpinus","Hystrix_brachyura","completed","Small_Herbivore","Large_Carnivore","SUB-Small_Herbivore~DOM-Large_Carnivore",1.09033967894863,0.0630663997357847,0.97656083335147,1.20544530296518,2.39960195737116,"Significant",0.172133333333333,0.00313333333333333,1.05281365936103,1.05289378974147,"LONG","No","No","Yes","Yes","No","top-down","community","Unsupported_3","Unsupported_3"
