"","Species_Pair","dom_species","sub_species","mod_completion","SUB_guild","DOM_guild","guild_pair","Interaction_Estimate","SD","lower","upper","Rhat","Significance","BPV.dom","BPV.sub","Chat.dom","Chat.sub","MCMC_setting","BPV_valid","BPV_valid_conserv","OD_valid","OD_valid_conserv","parameter_valid","direction","preference","support","support_conserv"
"29","SUB-Cuon_alpinus~DOM-Arctonyx_collaris","Arctonyx_collaris","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",-0.0500580149232448,0.122586218019965,-0.299861871953549,0.178001509821119,1.00000369973011,"Non-Significant",0.235133333333333,0.3148,1.02907551600494,1.04878291907497,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"30","SUB-Cuon_alpinus~DOM-Atherurus_macrourus","Atherurus_macrourus","Cuon_alpinus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.00727310274335413,0.0705577798058626,-0.137529700366615,0.138076687931458,1.0004482165021,"Non-Significant",0.203766666666667,0.317466666666667,1.02860544675117,1.02497595545838,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_3"
"31","SUB-Cuon_alpinus~DOM-Bos_gaurus","Bos_gaurus","Cuon_alpinus","completed","Large_Carnivore","Large_Herbivore","SUB-Large_Carnivore~DOM-Large_Herbivore",-0.0117929273926242,0.0489225548258409,-0.111236971786178,0.082507140749493,1.00023534371768,"Non-Significant",0.251166666666667,0.313166666666667,1.0291148843161,1.02167392431839,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"32","SUB-Cuon_alpinus~DOM-Capricornis_genus","Capricornis_genus","Cuon_alpinus","completed","Large_Carnivore","Large_Herbivore","SUB-Large_Carnivore~DOM-Large_Herbivore",-0.0362123561050176,0.0824481817328099,-0.204281159966841,0.119717391283534,1.00007124779503,"Non-Significant",0.1746,0.3203,1.02852414538613,1.04685369343909,"LONG","Yes","No","Yes","Yes","Yes","bottom-up","preferred","Unsupported_2","Unsupported_3"
"33","SUB-Cuon_alpinus~DOM-Helarctos_malayanus","Helarctos_malayanus","Cuon_alpinus","completed","Large_Carnivore","Large_Omnivore","SUB-Large_Carnivore~DOM-Large_Omnivore",0.062338356958749,0.0274756497592299,0.00306931408121785,0.110998505286631,0.999993231444128,"Significant",0.1336,0.319166666666667,1.0280523193783,1.02686094712783,"LONG","No","No","Yes","Yes","Yes","bottom-up","community","Unsupported_3","Unsupported_3"
"34","SUB-Cuon_alpinus~DOM-Hystrix_brachyura","Hystrix_brachyura","Cuon_alpinus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.0316925184166209,0.0202984955622855,-0.00864489725532158,0.0710854213183162,1.00035151561502,"Non-Significant",0.0027,0.318666666666667,1.02855513985575,1.05002563543658,"LONG","No","No","Yes","Yes","Yes","bottom-up","community","Unsupported_3","Unsupported_3"
"35","SUB-Cuon_alpinus~DOM-Lophura_diardi","Lophura_diardi","Cuon_alpinus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.0323961709887391,0.0141421121506375,0.0035288750813491,0.058873287946813,1.00011252231452,"Significant",0.257566666666667,0.3249,1.02839884767299,1.01950713317769,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Supported","Supported"
"36","SUB-Cuon_alpinus~DOM-Lophura_ignita","Lophura_ignita","Cuon_alpinus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.0564612888668969,0.0678825966017995,-0.0641879152642641,0.196949393409708,1.01426285907823,"Non-Significant",0.3075,0.316266666666667,1.02882857507092,1.02758949468173,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"37","SUB-Cuon_alpinus~DOM-Lophura_nycthemera","Lophura_nycthemera","Cuon_alpinus","completed","Large_Carnivore","Small_Herbivore","SUB-Large_Carnivore~DOM-Small_Herbivore",0.0169077595879001,0.0589241912717928,-0.110956836259918,0.12165400049301,1.00004249944829,"Non-Significant",0.270566666666667,0.315,1.02905163670893,1.04037444764184,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
"38","SUB-Cuon_alpinus~DOM-Macaca_arctoides","Macaca_arctoides","Cuon_alpinus","completed","Large_Carnivore","Small_Omnivore","SUB-Large_Carnivore~DOM-Small_Omnivore",6.27677679742977e-05,0.152789816450913,-0.315665508941893,0.286717283122369,1.00026251288751,"Non-Significant",0.544966666666667,0.312966666666667,1.02933979434689,0.99594750656198,"LONG","Yes","Yes","Yes","Yes","Yes","bottom-up","community","Unsupported_2","Unsupported_2"
