"","pair_id","direction","support","preference","Interaction_Estimate"
"154","Hystrix_brachyura_&_Panthera_pardus","no_association","unsupported","community",0.115713155019907
"155","Hystrix_brachyura_&_Panthera_tigris","no_association","unsupported","community",0.408811697489471
"156","Hystrix_crassispinis_&_Neofelis_genus","no_association","unsupported","community",0.156842329424879
"1211","Lophura_bulweri_&_Neofelis_genus","bottom-up","Supported","community",0.163022823946722
"157","Lophura_diardi_&_Neofelis_genus","no_association","unsupported","community",-0.193455135534312
"158","Lophura_diardi_&_Panthera_tigris","no_association","unsupported","community",-0.145577265839909
"159","Lophura_ignita_&_Neofelis_genus","no_association","unsupported","community",0.427928632119199
"160","Lophura_nycthemera_&_Neofelis_genus","no_association","unsupported","community",1.043373160521
"85","Lophura_nycthemera_&_Panthera_tigris","top-down","Supported","community",-0.401243966737504
"161","Macaca_arctoides_&_Neofelis_genus","no_association","unsupported","preferred",0.126631591396039
"162","Macaca_arctoides_&_Panthera_pardus","no_association","unsupported","preferred",0.15203741143086
"187","Macaca_arctoides_&_Panthera_tigris","bottom-up","Supported","community",0.597707139799848
"163","Macaca_fascicularis_&_Neofelis_genus","no_association","unsupported","community",-0.0618353884764398
"164","Macaca_fascicularis_&_Panthera_pardus","no_association","unsupported","preferred",-0.463563395168224
"165","Macaca_fascicularis_&_Panthera_tigris","no_association","unsupported","community",0.015785331665683
"166","Macaca_nemestrina_&_Neofelis_genus","no_association","unsupported","preferred",-0.0147042104564192
"96","Macaca_nemestrina_&_Panthera_pardus","top-down","Supported","preferred",-0.504225954673132
"97","Macaca_nemestrina_&_Panthera_tigris","top-down","Supported","community",-0.0822276158286042
"167","Cuon_alpinus_&_Manis_javanica","no_association","unsupported","community",-0.462621513953441
"168","Manis_javanica_&_Neofelis_genus","no_association","unsupported","community",-0.242267272829284
"169","Manis_javanica_&_Panthera_pardus","no_association","unsupported","community",-0.440057347873847
"101","Manis_javanica_&_Panthera_tigris","top-down","Supported","community",-0.592689962353573
"170","Martes_flavigula_&_Neofelis_genus","no_association","unsupported","community",0.54055484685884
"171","Martes_flavigula_&_Panthera_pardus","no_association","unsupported","community",0.464578219852035
"172","Martes_flavigula_&_Panthera_tigris","no_association","unsupported","community",0.174083406498167
"1291","Muntiacus_genus_&_Neofelis_genus","bottom-up","Supported","preferred",0.101251004958952
"1631","Muntiacus_genus_&_Panthera_pardus","bottom-up","Supported","preferred",0.538885491965668
"109","Muntiacus_genus_&_Panthera_tigris","top-down","Supported","preferred",-0.167512909650473
"1301","Neofelis_genus_&_Paguma_larvata","bottom-up","Supported","community",0.291519910050813
"173","Neofelis_genus_&_Panthera_pardus","no_association","unsupported","community",0.673976264247522
"1321","Neofelis_genus_&_Panthera_tigris","top-down","Supported","community",-0.17550005995873
"174","Neofelis_genus_&_Paradoxurus_hermaphroditus","no_association","unsupported","community",0.467939370753307
"176","Neofelis_genus_&_Rusa_unicolor","no_association","unsupported","preferred",0.31375533943509
"177","Neofelis_genus_&_Sus_barbatus","no_association","unsupported","preferred",0.0403751651591291
"1361","Neofelis_genus_&_Sus_scrofa","bottom-up","Supported","preferred",0.0695979628707845
"1371","Neofelis_genus_&_Tapirus_indicus","bottom-up","Supported","community",0.136380468276836
"178","Neofelis_genus_&_Tragulus_genus","no_association","unsupported","community",-0.229466801507675
"1391","Neofelis_genus_&_Trichys_fasciculata","bottom-up","Supported","community",0.107379258404116
"179","Neofelis_genus_&_Ursus_thibetanus","no_association","unsupported","community",0.146323204548884
"180","Neofelis_genus_&_Viverra_megaspila","no_association","unsupported","community",0.852589346177842
"1421","Neofelis_genus_&_Viverra_tangalunga","bottom-up","Supported","preferred",0.111190227479736
"1431","Neofelis_genus_&_Viverra_zibetha","bottom-up","Supported","preferred",0.138676222983029
"181","Neofelis_genus_&_Viverricula_indica","no_association","unsupported","community",0.671957553077938
"182","Paguma_larvata_&_Panthera_pardus","no_association","unsupported","community",0.394232532963084
"193","Paguma_larvata_&_Panthera_tigris","bottom-up","Supported","community",0.979060653637209
"183","Panthera_pardus_&_Panthera_tigris","no_association","unsupported","community",0.786143086834866
"184","Panthera_pardus_&_Paradoxurus_hermaphroditus","no_association","unsupported","community",0.866100146316798
"1681","Panthera_pardus_&_Rusa_unicolor","bottom-up","Supported","community",1.82603078087881
"1691","Panthera_pardus_&_Sus_scrofa","bottom-up","Supported","preferred",0.125250930361469
"1701","Panthera_pardus_&_Tapirus_indicus","bottom-up","Supported","community",0.28872440253959
"185","Panthera_pardus_&_Tragulus_genus","no_association","unsupported","community",-0.0324807768334094
"186","Panthera_pardus_&_Ursus_thibetanus","no_association","unsupported","community",0.186898508466322
"188","Panthera_pardus_&_Viverra_megaspila","no_association","unsupported","community",1.20455791895622
"189","Panthera_pardus_&_Viverra_zibetha","no_association","unsupported","community",0.0648599384069478
"190","Panthera_tigris_&_Paradoxurus_hermaphroditus","no_association","unsupported","community",-0.0143829366584733
"196","Panthera_tigris_&_Rusa_unicolor","bottom-up","Supported","preferred",0.130817455238045
"191","Panthera_tigris_&_Sus_barbatus","no_association","unsupported","preferred",-0.754033335019399
"198","Panthera_tigris_&_Sus_scrofa","bottom-up","Supported","preferred",0.100610381057933
"192","Panthera_tigris_&_Tapirus_indicus","no_association","unsupported","preferred",0.380948818416833
"194","Panthera_tigris_&_Tragulus_genus","no_association","unsupported","community",-0.216647997193563
"2381","Panthera_tigris_&_Trichys_fasciculata","top-down","Supported","community",-2.25336821586845
"195","Panthera_tigris_&_Ursus_thibetanus","no_association","unsupported","preferred",-0.0074667115719943
"2501","Panthera_tigris_&_Viverra_megaspila","top-down","Supported","community",-4.08449542666299
"2551","Panthera_tigris_&_Viverra_zibetha","top-down","Supported","community",-0.0920294904153944
"197","Panthera_tigris_&_Viverricula_indica","no_association","unsupported","community",0.255811004813763
"199","Cuon_alpinus_&_Pardofelis_marmorata","no_association","unsupported","community",-0.210183319360535
"1100","Neofelis_genus_&_Pardofelis_marmorata","no_association","unsupported","community",0.752365555259613
"1101","Panthera_pardus_&_Pardofelis_marmorata","no_association","unsupported","community",-0.165267522294671
"1102","Panthera_tigris_&_Pardofelis_marmorata","no_association","unsupported","community",-0.0718939030050957
"1103","Cuon_alpinus_&_Prionailurus_bengalensis","no_association","unsupported","community",0.436842144340479
"1104","Neofelis_genus_&_Prionailurus_bengalensis","no_association","unsupported","community",0.643614843932961
"1105","Panthera_pardus_&_Prionailurus_bengalensis","no_association","unsupported","community",0.394861123328171
"1106","Panthera_tigris_&_Prionailurus_bengalensis","no_association","unsupported","community",0.13434931490385
"1107","Cuon_alpinus_&_Varanus_salvator","no_association","unsupported","community",1.11022799809588
"1108","Neofelis_genus_&_Varanus_salvator","no_association","unsupported","community",1.22104763850374
"2451","Panthera_pardus_&_Varanus_salvator","top-down","Supported","community",-1.23741552553677
"1109","Panthera_tigris_&_Varanus_salvator","no_association","unsupported","community",-0.00780562143952506
