"Species","Guild","Body_mass"
"Geranoaetus melanoleucus","Carnivore",2.3786
"Geranoaetus polyosoma","Carnivore",0.7826
"Geranospiza caerulescens","Carnivore",0.3025
"Gypaetus barbatus","Scavenger",5.695
"Gypohierax angolensis","Herbivore",1.6
"Gyps africanus","Scavenger",5.433
"Gyps bengalensis","Scavenger",4.385
"Gyps coprotheres","Scavenger",8.177
"Gyps fulvus","Scavenger",7.436
"Gyps himalayensis","Scavenger",9.798
"Gyps indicus","Scavenger",5.515
"Gyps rueppelli","Scavenger",7.4
"Gyps tenuirostris","Scavenger",5.515
"Haliaeetus albicilla","Carnivore",4.7293
"Haliaeetus humilis","Carnivore",0.782
"Haliaeetus ichthyaetus","Carnivore",1.59
"Haliaeetus leucocephalus","Carnivore",4.7006
"Haliaeetus leucogaster","Carnivore",2.827
"Haliaeetus leucoryphus","Carnivore",2.8859
"Haliaeetus pelagicus","Carnivore",7.757
"Haliaeetus sanfordi","Carnivore",1.98
"Haliaeetus vocifer","Carnivore",3.4
"Haliaeetus vociferoides","Carnivore",3
"Haliastur indus","Carnivore",0.529
"Haliastur sphenurus","Carnivore",0.753
"Hamirostra melanosternon","Carnivore",1.196
"Harpagus bidentatus","Carnivore",0.2153
"Harpagus diodon","Carnivore",0.2
"Harpia harpyja","Carnivore",4.8
"Harpyopsis novaeguineae","Carnivore",1.9596
"Helicolestes hamatus","Carnivore",0.4255
"Henicopernis infuscatus","Carnivore",0.5712
"Henicopernis longicauda","Carnivore",0.5712
"Hieraaetus ayresii","Carnivore",0.8061
"Hieraaetus morphnoides","Carnivore",0.7751
"Hieraaetus pennatus","Carnivore",0.8238
"Hieraaetus wahlbergi","Carnivore",0.64
"Hieraaetus weiskei","Carnivore",0.7751
"Ictinaetus malaiensis","Carnivore",1.028
"Ictinia mississippiensis","Carnivore",0.276
"Ictinia plumbea","Carnivore",0.2499
"Kaupifalco monogrammicus","Carnivore",0.2789
"Leptodon cayanensis","Carnivore",0.474
"Leptodon forbesi","Carnivore",0.577
"Leucopternis kuhli","Carnivore",0.3521
"Leucopternis melanops","Carnivore",0.312
"Leucopternis semiplumbeus","Carnivore",0.285
"Lophaetus occipitalis","Carnivore",1.067
"Lophoictinia isura","Carnivore",0.5794
"Lophotriorchis kienerii","Carnivore",0.799
"Macheiramphus alcinus","Carnivore",0.65
"Megatriorchis doriae","Carnivore",1
"Melierax canorus","Carnivore",0.6633
"Melierax metabates","Carnivore",0.6745
"Melierax poliopterus","Carnivore",0.6299
"Micronisus gabar","Carnivore",0.1696
"Milvus migrans","Omnivore",0.7341
"Milvus milvus","Omnivore",1.0718
"Morphnarchus princeps","Carnivore",1
"Morphnus guianensis","Carnivore",1.75
"Necrosyrtes monachus","Scavenger",2.043
"Neophron percnopterus","Omnivore",2.082
"Nisaetus alboniger","Carnivore",0.83
"Nisaetus bartelsi","Carnivore",0.83
"Nisaetus cirrhatus","Carnivore",1.4751
"Nisaetus floris","Carnivore",1.4751
"Nisaetus kelaarti","Carnivore",3.005
"Nisaetus lanceolatus","Carnivore",1.168
"Nisaetus nanus","Carnivore",0.5578
"Nisaetus nipalensis","Carnivore",3.005
"Nisaetus philippensis","Carnivore",1.168
"Nisaetus pinskeri","Carnivore",1.168
"Parabuteo leucorrhous","Carnivore",0.29
"Parabuteo unicinctus","Carnivore",0.8503
"Pernis apivorus","Carnivore",0.7544
"Pernis celebensis","Carnivore",0.722
"Pernis ptilorhynchus","Carnivore",1.1411
"Pernis steerei","Carnivore",0.722
"Pithecophaga jefferyi","Carnivore",5.1753
"Polemaetus bellicosus","Carnivore",3.9645
"Polyboroides radiatus","Carnivore",0.6332
"Polyboroides typus","Carnivore",0.6332
"Pseudastur albicollis","Carnivore",0.7037
"Pseudastur occidentalis","Carnivore",0.66
"Pseudastur polionotus","Carnivore",0.7037
"Rostrhamus sociabilis","Carnivore",0.3669
"Rupornis magnirostris","Carnivore",0.269
"Sarcogyps calvus","Scavenger",4.4699
"Spilornis cheela","Carnivore",0.5977
"Spilornis elgini","Carnivore",0.895
"Spilornis holospilus","Carnivore",0.705
"Spilornis kinabaluensis","Carnivore",0.5977
"Spilornis klossi","Carnivore",0.45
"Spilornis rufipectus","Carnivore",0.705
"Spizaetus isidori","Carnivore",1.1974
"Spizaetus melanoleucus","Carnivore",0.85
"Spizaetus ornatus","Carnivore",1.1974
"Spizaetus tyrannus","Carnivore",1.0071
"Stephanoaetus coronatus","Carnivore",3.64
"Terathopius ecaudatus","Carnivore",2.2
"Torgos tracheliotos","Scavenger",6.969
"Trigonoceps occipitalis","Scavenger",3.016
"Urotriorchis macrourus","Carnivore",0.492
"Pandion haliaetus","Carnivore",1.4832
"Sagittarius serpentarius","Carnivore",4.017
"Aix galericulata","Herbivore",0.567
"Aix sponsa","Herbivore",0.6576
"Alopochen aegyptiaca","Herbivore",1.873
"Amazonetta brasiliensis","Herbivore",0.5
"Anas acuta","Herbivore",0.9446
"Anas albogularis","Omnivore",0.4881
"Anas andium","Omnivore",0.434
"Anas aucklandica","Carnivore",0.4991
"Anas bahamensis","Omnivore",0.49
"Anas bernieri","Herbivore",0.3785
"Anas capensis","Omnivore",0.402
"Anas castanea","Omnivore",0.624
"Anas chlorotis","Herbivore",0.4991
"Anas crecca","Herbivore",0.3419
"Anas diazi","Herbivore",0.8434
"Anas eatoni","Omnivore",0.9446
"Anas erythrorhyncha","Herbivore",0.5588
"Anas flavirostris","Omnivore",0.434
"Anas fulvigula","Herbivore",0.8434
"Anas georgica","Herbivore",0.6238
"Anas gibberifrons","Omnivore",0.4881
"Anas gracilis","Omnivore",0.4881
"Anas laysanensis","Carnivore",0.8434
"Anas luzonica","Omnivore",0.832
"Anas melleri","Herbivore",0.9592
"Anas nesiotis","Carnivore",0.4991
"Anas platyrhynchos","Herbivore",0.8434
"Anas poecilorhyncha","Herbivore",1
"Anas rubripes","Omnivore",1.241
"Anas sparsa","Omnivore",0.9815
"Anas superciliosa","Herbivore",0.8828
"Anas undulata","Herbivore",1.008
"Anas wyvilliana","Omnivore",0.8434
"Anas zonorhyncha","Herbivore",1.156
"Anser albifrons","Herbivore",2.5064
"Anser anser","Herbivore",3.3024
"Anser brachyrhynchus","Herbivore",2.642
"Anser caerulescens","Herbivore",2.6362
"Anser canagicus","Herbivore",2.1365
"Anser cygnoides","Herbivore",3.5119
"Anser erythropus","Herbivore",1.7555
"Anser fabalis","Herbivore",2.7547
"Anser indicus","Herbivore",2.2126
"Anser rossii","Herbivore",1.636
