"Species","Guild","Body_mass"
"Pternistis swierstrai","Herbivore",0.4603
"Pucrasia macrolopha","Herbivore",1.0505
"Rheinardia nigrescens","Omnivore",1.5
"Rheinardia ocellata","Omnivore",1.5
"Rhizothera dulitensis","Herbivore",0.7467
"Rhizothera longirostris","Herbivore",0.7467
"Rollulus rouloul","Omnivore",0.2165
"Scleroptila afra","Herbivore",0.3897
"Scleroptila finschi","Omnivore",0.5692
"Scleroptila gutturalis","Herbivore",0.3767
"Scleroptila levaillantii","Omnivore",0.4309
"Scleroptila psilolaema","Herbivore",0.4783
"Scleroptila shelleyi","Herbivore",0.488
"Scleroptila streptophora","Omnivore",0.385
"Synoicus adansonii","Herbivore",0.0404
"Synoicus chinensis","Herbivore",0.0404
"Synoicus monorthonyx","Herbivore",0.401
"Synoicus ypsilophorus","Herbivore",0.1077
"Syrmaticus ellioti","Herbivore",1.0075
"Syrmaticus humiae","Herbivore",0.8734
"Syrmaticus mikado","Herbivore",1.1487
"Syrmaticus reevesii","Herbivore",1.2046
"Syrmaticus soemmerringii","Omnivore",1.0817
"Tetrao urogalloides","Herbivore",2.7523
"Tetrao urogallus","Herbivore",2.7166
"Tetraogallus altaicus","Herbivore",2.7604
"Tetraogallus caspius","Herbivore",2.5082
"Tetraogallus caucasicus","Herbivore",1.8308
"Tetraogallus himalayensis","Herbivore",2.428
"Tetraogallus tibetanus","Herbivore",1.4889
"Tetraophasis obscurus","Herbivore",0.8554
"Tetraophasis szechenyii","Herbivore",1.053
"Tetrastes bonasia","Herbivore",0.429
"Tetrastes sewerzowi","Herbivore",0.2673
"Tragopan blythii","Herbivore",1.93
"Tragopan caboti","Herbivore",1.1225
"Tragopan melanocephalus","Herbivore",1.6132
"Tragopan satyra","Herbivore",1.417
"Tragopan temminckii","Herbivore",1.1634
"Tropicoperdix charltonii","Herbivore",0.2693
"Tropicoperdix chloropus","Herbivore",0.25
"Tympanuchus cupido","Herbivore",0.8701
"Tympanuchus pallidicinctus","Omnivore",0.7458
"Tympanuchus phasianellus","Herbivore",0.8824
"Xenoperdix udzungwensis","Carnivore",0.2249
"Gavia adamsii","Carnivore",4.9443
"Gavia arctica","Carnivore",2.2511
"Gavia immer","Carnivore",4.9568
"Gavia pacifica","Carnivore",2.2511
"Gavia stellata","Carnivore",1.486
"Aramus guarauna","Carnivore",1.08
"Anthropoides paradiseus","Omnivore",4.5406
"Anthropoides virgo","Omnivore",2.417
"Antigone antigone","Omnivore",5.9162
"Antigone canadensis","Omnivore",4.2962
"Antigone rubicunda","Herbivore",6.2228
"Antigone vipio","Herbivore",4.663
"Balearica pavonina","Omnivore",3.59
"Balearica regulorum","Omnivore",3.772
"Bugeranus carunculatus","Omnivore",8.159
"Grus americana","Carnivore",5.826
"Grus grus","Herbivore",5.5
"Grus japonensis","Omnivore",8.786
"Grus monacha","Herbivore",3.7299
"Grus nigricollis","Omnivore",6
"Leucogeranus leucogeranus","Omnivore",5.9134
"Heliopais personatus","Carnivore",0.51
"Heliornis fulica","Carnivore",0.132
"Podica senegalensis","Carnivore",0.599
"Psophia crepitans","Herbivore",1.026
"Psophia leucoptera","Herbivore",1.3156
"Psophia viridis","Herbivore",1.071
"Amaurolimnas concolor","Carnivore",0.133
"Amaurornis isabellina","Omnivore",0.18
"Amaurornis magnirostris","Omnivore",0.25
"Amaurornis marginalis","Carnivore",0.0512
"Amaurornis moluccana","Carnivore",0.1868
"Amaurornis olivacea","Carnivore",0.292
"Amaurornis phoenicurus","Carnivore",0.18
"Anurolimnas castaneiceps","Carnivore",0.126
"Anurolimnas fasciatus","Carnivore",0.069
"Anurolimnas viridis","Carnivore",0.0643
"Aramides albiventris","Carnivore",0.514
"Aramides axillaris","Carnivore",0.292
"Aramides cajaneus","Carnivore",0.397
"Aramides calopterus","Omnivore",0.3205
"Aramides mangle","Carnivore",0.183
"Aramides saracura","Omnivore",0.54
"Aramides wolfi","Omnivore",0.454
"Aramides ypecaha","Omnivore",0.7001
"Aramidopsis plateni","Carnivore",0.116
"Atlantisia rogersi","Omnivore",0.0393
"Canirallus oculeus","Carnivore",0.277
"Coturnicops exquisitus","Carnivore",0.0609
"Coturnicops notatus","Herbivore",0.03
"Coturnicops noveboracensis","Carnivore",0.0609
"Crex crex","Carnivore",0.1549
"Crex egregia","Carnivore",0.119
"Cyanolimnas cerverai","Carnivore",0.175
"Dryolimnas cuvieri","Carnivore",0.1824
"Fulica alai","Herbivore",0.459
"Fulica americana","Herbivore",0.6367
"Fulica ardesiaca","Herbivore",0.988
"Fulica armillata","Herbivore",1.04
"Fulica atra","Herbivore",0.7171
"Fulica cornuta","Herbivore",2.1104
"Fulica cristata","Herbivore",0.826
"Fulica gigantea","Herbivore",2.4427
"Fulica leucoptera","Herbivore",0.656
"Fulica rufifrons","Herbivore",0.644
"Gallicrex cinerea","Herbivore",0.3904
"Gallinula chloropus","Omnivore",0.3396
"Gallinula comeri","Omnivore",0.513
"Gallinula galeata","Omnivore",0.3396
"Gallinula silvestris","Omnivore",0.45
"Gallinula tenebrosa","Herbivore",0.5301
"Gallirallus australis","Omnivore",0.8757
"Gallirallus calayanensis","Carnivore",0.244
"Gallirallus castaneoventris","Carnivore",0.6845
"Gallirallus insignis","Omnivore",0.3531
"Gallirallus okinawae","Carnivore",0.433
"Gallirallus owstoni","Omnivore",0.226
"Gallirallus philippensis","Omnivore",0.2059
"Gallirallus rovianae","Omnivore",0.3531
"Gallirallus sylvestris","Carnivore",0.4944
"Gallirallus torquatus","Carnivore",0.28
"Gallirallus wallacii","Omnivore",1
"Gallirallus woodfordi","Carnivore",0.5532
"Gymnocrex plumbeiventris","Carnivore",0.288
"Gymnocrex rosenbergii","Carnivore",0.288
"Gymnocrex talaudensis","Carnivore",0.288
"Hapalocrex flaviventer","Omnivore",0.0249
"Himantornis haematopus","Carnivore",0.5857
"Laterallus albigularis","Omnivore",0.0473
"Laterallus exilis","Carnivore",0.0335
"Laterallus jamaicensis","Carnivore",0.0326
"Laterallus leucopyrrhus","Carnivore",0.0455
"Laterallus levraudi","Carnivore",0.0435
"Laterallus melanophaius","Carnivore",0.0521
"Laterallus ruber","Carnivore",0.0444
"Laterallus spilonota","Carnivore",0.0402
"Laterallus xenopterus","Carnivore",0.0569
"Lewinia mirifica","Carnivore",0.068
"Lewinia muelleri","Carnivore",0.093
"Lewinia pectoralis","Carnivore",0.0781
"Lewinia striata","Omnivore",0.116
"Megacrex inepta","Omnivore",1.2
"Mentocrex beankaensis","Carnivore",0.246
"Mentocrex kioloides","Carnivore",0.246
"Micropygia schomburgkii","Carnivore",0.0312
"Mustelirallus albicollis","Carnivore",0.1
"Mustelirallus colombianus","Carnivore",0.0583
"Mustelirallus erythrops","Carnivore",0.0583
"Paragallinula angulata","Omnivore",0.13
"Pardirallus maculatus","Carnivore",0.171
"Pardirallus nigricans","Carnivore",0.217
"Pardirallus sanguinolentus","Carnivore",0.232
"Poliolimnas cinereus","Omnivore",0.0521
"Porphyrio alleni","Herbivore",0.1387
"Porphyrio flavirostris","Omnivore",0.0926
"Porphyrio hochstetteri","Herbivore",2.4622
"Porphyrio indicus","Herbivore",0.7739
"Porphyrio madagascariensis","Herbivore",0.636
"Porphyrio martinica","Herbivore",0.2351
"Porphyrio melanotus","Herbivore",0.7739
"Porphyrio poliocephalus","Herbivore",0.7739
"Porphyrio porphyrio","Herbivore",0.7739
"Porphyrio pulverulentus","Herbivore",0.7739
"Porphyriops melanops","Omnivore",0.191
"Porzana carolina","Omnivore",0.0748
"Porzana fluminea","Carnivore",0.0608
"Porzana porzana","Omnivore",0.0871
"Porzana spiloptera","Omnivore",0.0521
"Rallina canningi","Carnivore",0.178
"Rallina eurizonoides","Omnivore",0.109
"Rallina fasciata","Carnivore",0.1
"Rallina forbesi","Carnivore",0.0851
"Rallina leucospila","Carnivore",0.12
"Rallina mayri","Carnivore",0.1229
"Rallina rubra","Carnivore",0.081
"Rallina tricolor","Carnivore",0.178
"Rallus antarcticus","Carnivore",0.0604
"Rallus aquaticus","Carnivore",0.1107
"Rallus caerulescens","Carnivore",0.1621
"Rallus crepitans","Carnivore",0.306
"Rallus elegans","Carnivore",0.3133
"Rallus indicus","Carnivore",0.1045
"Rallus limicola","Carnivore",0.0841
"Rallus longirostris","Carnivore",0.2594
"Rallus madagascariensis","Carnivore",0.114
"Rallus obsoletus","Carnivore",0.342
"Rallus semiplumbeus","Carnivore",0.0841
"Rallus tenuirostris","Carnivore",0.306
"Rallus wetmorei","Carnivore",0.2594
"Rougetius rougetii","Omnivore",0.1934
"Tribonyx mortierii","Omnivore",1.2918
"Tribonyx ventralis","Herbivore",0.3863
"Zapornia akool","Carnivore",0.1314
"Zapornia atra","Carnivore",0.0774
"Zapornia bicolor","Carnivore",0.0573
"Zapornia flavirostra","Carnivore",0.0862
"Zapornia fusca","Omnivore",0.0573
"Zapornia olivieri","Carnivore",0.0862
"Zapornia parva","Carnivore",0.0497
"Zapornia paykullii","Carnivore",0.111
"Zapornia pusilla","Carnivore",0.0354
"Zapornia tabuensis","Omnivore",0.0422
"Sarothrura affinis","Omnivore",0.0278
"Sarothrura ayresi","Omnivore",0.0318
"Sarothrura boehmi","Omnivore",0.035
"Sarothrura elegans","Carnivore",0.046
"Sarothrura insularis","Omnivore",0.0268
"Sarothrura lugens","Omnivore",0.0308
"Sarothrura pulchra","Carnivore",0.0452
"Sarothrura rufa","Carnivore",0.0377
"Sarothrura watersi","Omnivore",0.0265
"Leptosomus discolor","Carnivore",0.255
"Mesitornis unicolor","Omnivore",0.148
"Mesitornis variegatus","Carnivore",0.11
"Monias benschi","Carnivore",0.1379
"Corythaeola cristata","Herbivore",0.965
"Corythaixoides concolor","Herbivore",0.258
"Corythaixoides leucogaster","Herbivore",0.2162
"Corythaixoides personatus","Herbivore",0.25
"Crinifer piscator","Herbivore",0.37
"Crinifer zonurus","Herbivore",0.527
"Musophaga rossae","Herbivore",0.3614
"Musophaga violacea","Herbivore",0.36
"Ruwenzorornis johnstoni","Herbivore",0.24
"Tauraco bannermani","Herbivore",0.224
"Tauraco corythaix","Herbivore",0.308
"Tauraco erythrolophus","Herbivore",0.2612
"Tauraco fischeri","Herbivore",0.25
"Tauraco hartlaubi","Herbivore",0.224
"Tauraco leucolophus","Herbivore",0.219
"Tauraco leucotis","Herbivore",0.265
"Tauraco livingstonii","Herbivore",0.249
"Tauraco macrorhynchus","Herbivore",0.2437
"Tauraco persa","Herbivore",0.306
"Tauraco porphyreolophus","Herbivore",0.259
"Tauraco ruspolii","Herbivore",0.263
"Tauraco schalowi","Herbivore",0.2064
"Tauraco schuettii","Herbivore",0.235
"Opisthocomus hoazin","Herbivore",0.696
"Ardeotis arabs","Omnivore",5.9435
"Ardeotis australis","Omnivore",4.1824
"Ardeotis kori","Omnivore",7.9942
"Ardeotis nigriceps","Omnivore",7.2353
"Chlamydotis macqueenii","Herbivore",1.5013
"Chlamydotis undulata","Herbivore",1.5013
"Eupodotis afra","Omnivore",0.69
"Eupodotis afraoides","Omnivore",0.745
"Eupodotis caerulescens","Omnivore",1.366
"Eupodotis gindiana","Omnivore",0.7823
"Eupodotis humilis","Omnivore",0.698
"Eupodotis rueppelii","Omnivore",1.107
"Eupodotis ruficrista","Omnivore",0.7121
"Eupodotis savilei","Omnivore",0.7121
"Eupodotis senegalensis","Omnivore",0.585
"Eupodotis vigorsii","Herbivore",1.7
"Houbaropsis bengalensis","Omnivore",2.0125
"Lissotis hartlaubii","Omnivore",1.19
"Lissotis melanogaster","Carnivore",1.1515
"Neotis denhami","Carnivore",3.9702
"Neotis heuglinii","Omnivore",4.0988
"Neotis ludwigii","Omnivore",3.2609
"Neotis nuba","Omnivore",5.44
"Otis tarda","Omnivore",6.7599
"Sypheotides indicus","Herbivore",0.6143
"Tetrax tetrax","Omnivore",0.8335
"Acanthisitta chloris","Carnivore",0.0069
"Xenicus gilviventris","Carnivore",0.0176
"Acanthiza apicalis","Carnivore",0.0076
"Acanthiza chrysorrhoa","Carnivore",0.0093
"Acanthiza cinerea","Carnivore",0.0076
"Acanthiza ewingii","Carnivore",0.0069
"Acanthiza inornata","Carnivore",0.007
"Acanthiza iredalei","Carnivore",0.006
"Acanthiza katherina","Carnivore",0.0072
"Acanthiza lineata","Omnivore",0.0069
"Acanthiza murina","Carnivore",0.0084
"Acanthiza nana","Carnivore",0.0062
"Acanthiza pusilla","Carnivore",0.0076
"Acanthiza reguloides","Carnivore",0.0077
"Acanthiza robustirostris","Carnivore",0.0061
"Acanthiza uropygialis","Carnivore",0.0064
"Acanthornis magna","Carnivore",0.0102
"Aphelocephala leucopsis","Carnivore",0.0123
"Aphelocephala nigricincta","Carnivore",0.0104
"Aphelocephala pectoralis","Omnivore",0.009
"Calamanthus campestris","Carnivore",0.0139
"Calamanthus fuliginosus","Carnivore",0.0208
"Calamanthus montanellus","Carnivore",0.014
"Crateroscelis murina","Carnivore",0.015
"Crateroscelis nigrorufa","Carnivore",0.0159
"Crateroscelis robusta","Carnivore",0.0186
"Gerygone albofrontata","Carnivore",0.0103
"Gerygone chloronota","Carnivore",0.0066
"Gerygone chrysogaster","Carnivore",0.008
"Gerygone dorsalis","Carnivore",0.0072
"Gerygone flavolateralis","Carnivore",0.0063
"Gerygone fusca","Carnivore",0.0054
"Gerygone hypoxantha","Carnivore",0.0072
"Gerygone igata","Carnivore",0.0064
"Gerygone inornata","Carnivore",0.0072
"Gerygone levigaster","Carnivore",0.0062
"Gerygone magnirostris","Carnivore",0.0068
"Gerygone modesta","Carnivore",0.0075
"Gerygone mouki","Carnivore",0.0052
"Gerygone olivacea","Carnivore",0.0067
"Gerygone palpebrosa","Carnivore",0.0074
"Gerygone ruficollis","Carnivore",0.007
"Gerygone sulphurea","Carnivore",0.0056
"Gerygone tenebrosa","Carnivore",0.0077
"Hylacola cauta","Carnivore",0.0152
"Hylacola pyrrhopygia","Carnivore",0.0168
"Oreoscopus gutturalis","Carnivore",0.02
"Origma solitaria","Carnivore",0.0143
"Pachycare flavogriseum","Carnivore",0.0162
"Pycnoptilus floccosus","Carnivore",0.0289
"Pyrrholaemus brunneus","Omnivore",0.0125
"Pyrrholaemus sagittatus","Carnivore",0.0133
"Sericornis arfakianus","Carnivore",0.0087
"Sericornis beccarii","Carnivore",0.0119
"Sericornis citreogularis","Carnivore",0.0176
"Sericornis frontalis","Omnivore",0.0132
"Sericornis humilis","Carnivore",0.0183
"Sericornis keri","Carnivore",0.0114
"Sericornis magnirostra","Carnivore",0.0098
"Sericornis nouhuysi","Carnivore",0.0171
"Sericornis papuensis","Carnivore",0.0112
"Sericornis perspicillatus","Carnivore",0.009
"Sericornis rufescens","Carnivore",0.0085
"Sericornis spilodera","Carnivore",0.0117
"Sericornis virgatus","Carnivore",0.0171
"Smicrornis brevirostris","Carnivore",0.0053
"Acrocephalus aequinoctialis","Carnivore",0.025
"Acrocephalus agricola","Carnivore",0.0096
"Acrocephalus arundinaceus","Carnivore",0.03
"Acrocephalus atyphus","Carnivore",0.03
"Acrocephalus australis","Carnivore",0.0177
"Acrocephalus baeticatus","Carnivore",0.0123
"Acrocephalus bistrigiceps","Carnivore",0.0087
"Acrocephalus brevipennis","Carnivore",0.016
"Acrocephalus caffer","Carnivore",0.0438
"Acrocephalus concinens","Carnivore",0.0083
"Acrocephalus dumetorum","Carnivore",0.0112
"Acrocephalus familiaris","Carnivore",0.0183
"Acrocephalus gracilirostris","Carnivore",0.0144
"Acrocephalus griseldis","Carnivore",0.0167
"Acrocephalus hiwae","Carnivore",0.0356
"Acrocephalus kerearako","Carnivore",0.0225
"Acrocephalus longirostris","Carnivore",0.0438
"Acrocephalus melanopogon","Carnivore",0.0109
"Acrocephalus mendanae","Carnivore",0.0363
"Acrocephalus newtoni","Carnivore",0.017
"Acrocephalus orientalis","Carnivore",0.0235
"Acrocephalus orinus","Carnivore",0.0242
"Acrocephalus paludicola","Carnivore",0.0116
"Acrocephalus palustris","Carnivore",0.0115
"Acrocephalus percernis","Carnivore",0.0312
"Acrocephalus rehsei","Carnivore",0.0201
"Acrocephalus rimitarae","Carnivore",0.0265
"Acrocephalus rodericanus","Carnivore",0.0118
"Acrocephalus rufescens","Carnivore",0.0227
"Acrocephalus schoenobaenus","Carnivore",0.0118
"Acrocephalus scirpaceus","Carnivore",0.0123
"Acrocephalus sechellensis","Carnivore",0.0159
"Acrocephalus sorghophilus","Carnivore",0.0082
"Acrocephalus stentoreus","Carnivore",0.0242
"Acrocephalus syrinx","Carnivore",0.034
"Acrocephalus taiti","Carnivore",0.0243
"Acrocephalus tangorum","Carnivore",0.008
"Acrocephalus vaughani","Carnivore",0.0244
"Arundinax aedon","Carnivore",0.0224
"Calamonastides gracilirostris","Carnivore",0.0108
"Hippolais icterina","Carnivore",0.0132
"Hippolais languida","Carnivore",0.012
"Hippolais olivetorum","Carnivore",0.0175
"Hippolais polyglotta","Carnivore",0.011
"Iduna caligata","Carnivore",0.0089
"Iduna natalensis","Carnivore",0.0117
"Iduna opaca","Carnivore",0.009
"Iduna pallida","Carnivore",0.009
"Iduna rama","Carnivore",0.0093
"Iduna similis","Carnivore",0.0111
"Nesillas brevicaudata","Carnivore",0.0161
"Nesillas lantzii","Carnivore",0.0197
"Nesillas longicaudata","Carnivore",0.0197
"Nesillas mariae","Carnivore",0.016
"Nesillas typica","Carnivore",0.0197
"Aegithalos caudatus","Carnivore",0.0086
"Aegithalos concinnus","Carnivore",0.0061
"Aegithalos fuliginosus","Carnivore",0.0057
"Aegithalos glaucogularis","Carnivore",0.0086
"Aegithalos iouschistos","Carnivore",0.007
"Aegithalos leucogenys","Carnivore",0.0067
"Aegithalos niveogularis","Carnivore",0.0078
"Leptopoecile elegans","Carnivore",0.0062
"Leptopoecile sophiae","Carnivore",0.0069
"Psaltria exilis","Carnivore",0.004
"Psaltriparus minimus","Carnivore",0.0053
"Aegithina lafresnayei","Carnivore",0.012
"Aegithina nigrolutea","Carnivore",0.0118
"Aegithina tiphia","Carnivore",0.012
"Aegithina viridissima","Carnivore",0.0134
"Alaemon alaudipes","Carnivore",0.0437
"Alaemon hamertoni","Carnivore",0.0437
"Alauda arvensis","Omnivore",0.0373
"Alauda gulgula","Omnivore",0.0263
"Alauda leucoptera","Omnivore",0.0453
"Alauda razae","Omnivore",0.0219
"Alaudala cheleensis","Omnivore",0.0241
"Alaudala heinei","Omnivore",0.0241
"Alaudala raytal","Omnivore",0.0185
"Alaudala rufescens","Omnivore",0.0241
"Alaudala somalica","Omnivore",0.0241
"Ammomanes cinctura","Herbivore",0.0181
"Ammomanes deserti","Omnivore",0.0238
"Ammomanes phoenicura","Omnivore",0.0256
"Ammomanopsis grayi","Omnivore",0.0214
"Calandrella acutirostris","Omnivore",0.0202
"Calandrella blanfordi","Omnivore",0.0237
"Calandrella brachydactyla","Omnivore",0.0211
"Calandrella cinerea","Omnivore",0.0237
"Calandrella dukhunensis","Omnivore",0.0211
"Calandrella eremica","Omnivore",0.0237
"Calendulauda africanoides","Omnivore",0.0234
"Calendulauda albescens","Omnivore",0.0304
"Calendulauda alopex","Omnivore",0.024
"Calendulauda barlowi","Omnivore",0.0281
"Calendulauda burra","Omnivore",0.0374
"Calendulauda erythrochlamys","Omnivore",0.0281
"Calendulauda poecilosterna","Carnivore",0.0247
"Calendulauda sabota","Herbivore",0.0247
"Certhilauda benguelensis","Omnivore",0.0404
"Certhilauda brevirostris","Carnivore",0.044
"Certhilauda chuana","Omnivore",0.0441
"Certhilauda curvirostris","Carnivore",0.0404
"Certhilauda semitorquata","Carnivore",0.0404
"Certhilauda subcoronata","Omnivore",0.0404
"Chersomanes albofasciata","Carnivore",0.0246
"Chersomanes beesleyi","Carnivore",0.0246
"Chersophilus duponti","Omnivore",0.0394
"Eremalauda dunni","Herbivore",0.0205
"Eremalauda eremodites","Herbivore",0.0205
"Eremophila alpestris","Omnivore",0.0333
"Eremophila bilopha","Herbivore",0.0385
"Eremopterix australis","Herbivore",0.0142
"Eremopterix griseus","Omnivore",0.016
"Eremopterix hova","Omnivore",0.0189
"Eremopterix leucopareia","Herbivore",0.0145
"Eremopterix leucotis","Herbivore",0.0164
"Eremopterix nigriceps","Omnivore",0.0139
"Eremopterix signatus","Herbivore",0.0157
"Eremopterix verticalis","Herbivore",0.017
"Galerida cristata","Omnivore",0.0427
"Galerida deva","Omnivore",0.0199
"Galerida macrorhyncha","Omnivore",0.0427
"Galerida magnirostris","Omnivore",0.0416
"Galerida malabarica","Omnivore",0.0382
"Galerida modesta","Omnivore",0.0202
"Galerida theklae","Omnivore",0.0382
"Heteromirafra archeri","Omnivore",0.03
"Heteromirafra ruddi","Omnivore",0.0266
"Lullula arborea","Omnivore",0.0269
"Melanocorypha bimaculata","Omnivore",0.0541
"Melanocorypha calandra","Omnivore",0.0616
"Melanocorypha maxima","Herbivore",0.075
"Melanocorypha mongolica","Omnivore",0.0539
"Melanocorypha yeltoniensis","Omnivore",0.0599
"Mirafra affinis","Omnivore",0.0262
"Mirafra africana","Omnivore",0.045
"Mirafra albicauda","Omnivore",0.0222
"Mirafra angolensis","Omnivore",0.0362
"Mirafra apiata","Omnivore",0.0269
"Mirafra ashi","Omnivore",0.0368
"Mirafra assamica","Omnivore",0.0262
"Mirafra cantillans","Omnivore",0.023
"Mirafra cheniana","Omnivore",0.0292
"Mirafra collaris","Omnivore",0.0292
"Mirafra cordofanica","Omnivore",0.0292
"Mirafra erythrocephala","Omnivore",0.0262
"Mirafra erythroptera","Omnivore",0.0213
"Mirafra fasciolata","Omnivore",0.0306
"Mirafra gilletti","Omnivore",0.0224
"Mirafra hypermetra","Omnivore",0.0614
"Mirafra javanica","Omnivore",0.023
"Mirafra microptera","Omnivore",0.0262
"Mirafra passerina","Omnivore",0.0247
"Mirafra pulpa","Omnivore",0.0219
"Mirafra rufa","Omnivore",0.0292
"Mirafra rufocinnamomea","Carnivore",0.0263
"Mirafra somalica","Omnivore",0.0466
"Mirafra williamsi","Omnivore",0.0292
"Pinarocorys erythropygia","Carnivore",0.0301
"Pinarocorys nigricans","Carnivore",0.0381
"Ramphocoris clotbey","Herbivore",0.0491
"Spizocorys conirostris","Omnivore",0.0143
"Spizocorys fremantlii","Herbivore",0.0234
"Spizocorys fringillaris","Omnivore",0.0192
"Spizocorys obbiensis","Omnivore",0.0135
"Spizocorys personata","Herbivore",0.0197
"Spizocorys sclateri","Omnivore",0.019
"Spizocorys starki","Herbivore",0.0185
"Artamus cinereus","Carnivore",0.0356
"Artamus cyanopterus","Carnivore",0.0346
"Artamus fuscus","Carnivore",0.0398
"Artamus insignis","Carnivore",0.0513
"Artamus leucorynchus","Carnivore",0.0417
"Artamus maximus","Carnivore",0.0582
"Artamus mentalis","Carnivore",0.0419
"Artamus minor","Carnivore",0.016
"Artamus monachus","Carnivore",0.0513
"Artamus personatus","Carnivore",0.0346
"Artamus superciliosus","Carnivore",0.0355
"Cracticus argenteus","Omnivore",0.0888
"Cracticus cassicus","Carnivore",0.142
"Cracticus louisiadensis","Carnivore",0.142
"Cracticus mentalis","Carnivore",0.077
"Cracticus nigrogularis","Carnivore",0.128
"Cracticus quoyi","Carnivore",0.168
"Cracticus torquatus","Omnivore",0.0829
"Gymnorhina tibicen","Carnivore",0.2849
"Peltops blainvillii","Carnivore",0.03
"Peltops montanus","Carnivore",0.0316
"Strepera fuliginosa","Carnivore",0.3755
"Strepera graculina","Omnivore",0.2989
"Strepera versicolor","Carnivore",0.3955
"Atrichornis clamosus","Carnivore",0.0422
"Atrichornis rufescens","Carnivore",0.024
"Bernieria madagascariensis","Carnivore",0.0253
"Crossleyia xanthophrys","Carnivore",0.0199
"Cryptosylvicola randrianasoloi","Carnivore",0.0086
"Hartertula flavoviridis","Carnivore",0.0097
"Oxylabes madagascariensis","Carnivore",0.0233
"Randia pseudozosterops","Carnivore",0.011
"Thamnornis chloropetoides","Carnivore",0.0143
"Xanthomixis apperti","Carnivore",0.0146
"Xanthomixis cinereiceps","Carnivore",0.0182
"Xanthomixis tenebrosa","Carnivore",0.0214
"Xanthomixis zosterops","Carnivore",0.0109
"Bombycilla cedrorum","Herbivore",0.0316
"Bombycilla garrulus","Herbivore",0.0544
"Bombycilla japonica","Omnivore",0.0423
"Buphagus africanus","Carnivore",0.0585
"Buphagus erythrorynchus","Carnivore",0.0507
"Calcarius lapponicus","Herbivore",0.0278
"Calcarius ornatus","Omnivore",0.0203
"Calcarius pictus","Herbivore",0.0267
"Plectrophenax hyperboreus","Omnivore",0.0545
"Plectrophenax nivalis","Herbivore",0.0422
"Rhynchophanes mccownii","Herbivore",0.0257
"Callaeas wilsoni","Herbivore",0.2254
"Philesturnus carunculatus","Carnivore",0.0747
"Philesturnus rufusater","Carnivore",0.0747
"Calyptomena hosii","Herbivore",0.092
"Calyptomena viridis","Herbivore",0.0585
"Calyptomena whiteheadi","Herbivore",0.1561
"Smithornis capensis","Carnivore",0.0232
"Smithornis rufolateralis","Carnivore",0.019
"Smithornis sharpei","Carnivore",0.0375
"Calyptophilus frugivorus","Carnivore",0.0321
"Calyptophilus tertius","Carnivore",0.0492
"Analisoma analis","Carnivore",0.0824
"Analisoma coerulescens","Carnivore",0.0628
"Analisoma ostenta","Carnivore",0.068
"Campephaga flava","Carnivore",0.0323
"Campephaga petiti","Carnivore",0.0313
"Campephaga phoenicea","Carnivore",0.0271
"Campephaga quiscalina","Carnivore",0.0345
"Campochaera sloetii","Herbivore",0.041
"Celebesia abbotti","Carnivore",0.068
"Celebesia parvula","Carnivore",0.068
"Coracina atriceps","Carnivore",0.139
"Coracina bicolor","Carnivore",0.101
"Coracina boyeri","Herbivore",0.0664
"Coracina caeruleogrisea","Carnivore",0.1382
"Coracina caesia","Carnivore",0.0473
"Coracina caledonica","Carnivore",0.14
"Coracina cinerea","Carnivore",0.0472
"Coracina cucullata","Carnivore",0.0472
"Coracina dobsoni","Carnivore",0.111
"Coracina fortis","Carnivore",0.1382
"Coracina graueri","Carnivore",0.0472
"Coracina ingens","Carnivore",0.0635
"Coracina javensis","Carnivore",0.0945
"Coracina larvata","Carnivore",0.0945
"Coracina leucopygia","Carnivore",0.0945
"Coracina lineata","Herbivore",0.076
"Coracina longicauda","Carnivore",0.101
"Coracina macei","Carnivore",0.105
"Coracina maxima","Carnivore",0.127
"Coracina novaehollandiae","Carnivore",0.118
"Coracina papuensis","Carnivore",0.0635
"Coracina pectoralis","Carnivore",0.0544
"Coracina personata","Carnivore",0.0945
"Coracina schistacea","Carnivore",0.0945
"Coracina striata","Carnivore",0.111
"Coracina temminckii","Carnivore",0.101
"Coracina welchmani","Carnivore",0.135
"Cyanograucalus azureus","Carnivore",0.0461
"Edolisoma admiralitatis","Carnivore",0.0609
"Edolisoma ceramense","Carnivore",0.0479
"Edolisoma dispar","Carnivore",0.068
"Edolisoma dohertyi","Carnivore",0.068
"Edolisoma holopolium","Carnivore",0.0489
"Edolisoma incertum","Carnivore",0.0589
"Edolisoma melas","Carnivore",0.0594
"Edolisoma mindanense","Carnivore",0.0587
"Edolisoma montanum","Herbivore",0.0792
"Edolisoma morio","Carnivore",0.0585
"Edolisoma salomonis","Carnivore",0.0609
"Edolisoma schisticeps","Herbivore",0.0528
"Edolisoma sula","Carnivore",0.068
"Edolisoma tenuirostre","Carnivore",0.0609
"Lalage atrovirens","Omnivore",0.033
"Lalage aurea","Carnivore",0.032
"Lalage conjuncta","Carnivore",0.0293
"Lalage fimbriata","Carnivore",0.0293
"Lalage leucomela","Carnivore",0.0293
"Lalage leucopyga","Carnivore",0.0243
"Lalage leucopygialis","Carnivore",0.0243
"Lalage maculosa","Carnivore",0.0303
"Lalage melanoleuca","Carnivore",0.0468
"Lalage melanoptera","Carnivore",0.0294
"Lalage melaschistos","Carnivore",0.043
