"landscape","total trap nights","number of sampling units","number of 5km polygons","number of single-season surveys","sampling duration","start date","end date","number of data providers","Xmin","Xmax","Ymin","Ymax","mean forest integrity","mean human footprint","mean elevation","total area sampled km2","number of deployments","were tigers detected","were leopards detected","were dholes detected","were clouded leopards detected"
"Sarawak_Pulong_Tau",1716,20,7,3,255,2010-06-07,2011-02-17,1,115.452935,115.53435,3.782605,3.859,9.727,4.404,1389.517,35,38,"no","no","no","yes"
"Sarawak_Samunsam_GPueh_GGading_NPs",2379,26,11,6,2305,2013-07-02,2019-10-24,1,109.35578,109.5035,1.41982666666667,1.58370666666667,2.216,11.708,11.247,55,65,"no","no","no","yes"
"Sarawak_Similajau_NP",1089,11,4,3,299,2016-05-11,2017-03-06,1,113.08114,113.11649,3.19485,3.24837666666667,0.194,27.992,33.969,20,21,"no","no","no","no"
"Sarawak_Sungai_Meluang_NP",297,3,3,1,99,2016-05-17,2016-08-24,1,113.48819,113.50238,3.18068666666667,3.2083,0.837,2,20.489,15,8,"no","no","no","no"
"Sarawak_Ulu_Baram",5643,57,23,7,1751,2012-03-13,2016-12-28,2,115.118475,115.9053,3.10206506666667,3.9692,7.929,3.082,805.825,115,93,"no","no","no","yes"
"Sarawak_Ulu_Trusan",970,10,10,1,97,2012-01-05,2012-04-11,1,115.43318,115.51428,4.340605,4.44311,7.706,3.875,773.129,50,18,"no","no","no","no"
"Sarawak_Wilmar_Oil_Palm_Plantation",9450,98,34,7,2342,2013-09-08,2020-02-06,1,113.33907,113.8374,3.270075,3.6239,1.13,7.651,44.171,170,178,"no","no","no","no"
"Singapore",9753,133,43,8,1454,2018-12-26,2022-12-19,1,103.677,103.982317,1.259045,1.45752,0.661,48.843,34.356,215,341,"no","no","no","no"
"Sumatra_Bukit_Barisan_Selatan_NP",20724,301,90,14,2699,2010-04-08,2017-08-28,2,104.00719,104.53460127,-5.71968055,-5.09662,9.005,7.31,181.697,450,508,"yes","no","yes","yes"
"Sumatra_Gunung_Leuser_NP",5016,56,44,2,155,2013-12-18,2014-05-22,1,97.98501402,98.11821403,3.510438027,3.987576021,7.905,5.824,315.817,220,86,"yes","no","no","yes"
